Stock Symbol,Company Name,Last Sale,Market Capitalization,IPO Year,Sector,Industry,Last Update
EBAY,eBay Inc.,34.33,37051837606,1998,Miscellaneous,Business Services,4/24/17
ATVI,"Activision Blizzard, Inc",48.42,36404429706,NAN,Technology,Computer Software: Prepackaged Software,4/24/17
NXPI,NXP Semiconductors N.V.,103.23,35717875444,2010,Technology,Semiconductors,4/24/17
CTSH,Cognizant Technology Solutions Corporation,58.35,35513977294,1998,Technology,EDP Services,4/24/17
MAR,Marriott International,91.55,35010517493,NAN,Consumer Services,Hotels/Resorts,4/23/17
LBTYB,Liberty Global plc,35.5,31770429711,NAN,Consumer Services,Television Services,4/23/17
EQIX,"Equinix, Inc.",399.11,31013547378,2000,Consumer Services,Real Estate Investment Trusts,4/24/17
LBTYA,Liberty Global plc,34.26,30660702025,NAN,Consumer Services,Television Services,4/25/17
INTU,Intuit Inc.,117.89,30154531964,1993,Technology,Computer Software: Prepackaged Software,4/23/17
LBTYK,Liberty Global plc,33.68,30141635850,NAN,Consumer Services,Television Services,4/23/17
JD,"JD.com, Inc.",32.47,29780465124,2014,Consumer Services,Other Specialty Stores,4/26/17
MU,"Micron Technology, Inc.",26.74,29582652469,NAN,Technology,Semiconductors,4/23/17
DISH,DISH Network Corporation,62.38,29030715676,1995,Consumer Services,Television Services,4/23/17
INCY,Incyte Corporation,140.84,28706078093,NAN,Health Care,Biotechnology: Commercial Physical & Biological Resarch,4/26/17
VRTX,Vertex Pharmaceuticals Incorporated,113.8,28272258853,1991,Health Care,Major Pharmaceuticals,4/24/17
ISRG,"Intuitive Surgical, Inc.",764.79,28087288262,2000,Health Care,Industrial Specialties,4/23/17
ADI,"Analog Devices, Inc.",76.51,27933090834,NAN,Technology,Semiconductors,4/26/17
EA,Electronic Arts Inc.,89.02,27441708194,NAN,Technology,Computer Software: Prepackaged Software,4/25/17
ALXN,"Alexion Pharmaceuticals, Inc.",118.35,26646395748,1996,Health Care,Major Pharmaceuticals,4/24/17
MNST,Monster Beverage Corporation,44.9,25441208501,NAN,Consumer Non-Durables,Beverages (Production/Distribution),4/26/17
ILMN,"Illumina, Inc.",173.68,25409384000,2000,Capital Goods,Biotechnology: Laboratory Analytical Instruments,4/26/17
ROST,"Ross Stores, Inc.",63.2,24774373330,1985,Consumer Services,Clothing/Shoe/Accessory Stores,4/25/17
FISV,"Fiserv, Inc.",115.19,24715621401,1986,Technology,EDP Services,4/25/17
WDC,Western Digital Corporation,83.5,24053881156,NAN,Technology,Electronic Components,4/25/17
SIRI,Sirius XM Holdings Inc.,5.1,23918069607,NAN,Consumer Services,Broadcasting,4/26/17
ORLY,"O&#39;Reilly Automotive, Inc.",251.99,23093896203,1993,Consumer Services,Other Specialty Stores,4/25/17
PCAR,PACCAR Inc.,64.63,22701604187,NAN,Capital Goods,Auto Manufacturing,4/24/17
AAL,"American Airlines Group, Inc.",43.35,21855093110,NAN,Transportation,Air Freight/Delivery Services,4/23/17
HBANO,Huntington Bancshares Incorporated,26.31,20960889616,NAN,Finance,Major Banks,4/26/17
PAYX,"Paychex, Inc.",57.89,20796889008,1983,Consumer Services,Diversified Commercial Services,4/24/17
LRCX,Lam Research Corporation,125.17,20383168585,1984,Technology,Industrial Machinery/Components,4/24/17
CTRP,"Ctrip.com International, Ltd.",48.29,20257996121,2003,Miscellaneous,Business Services,4/23/17
MYL,Mylan N.V.,37.67,20172171538,NAN,Health Care,Major Pharmaceuticals,4/24/17
NTES,"NetEase, Inc.",265.68,19935605395,NAN,Miscellaneous,Business Services,4/26/17
NTRS,Northern Trust Corporation,85.03,19513103853,NAN,Finance,Major Banks,4/24/17
AMTD,TD Ameritrade Holding Corporation,36.84,19434672258,1997,Finance,Investment Bankers/Brokers/Service,4/24/17
CERN,Cerner Corporation,58.61,19324859954,1986,Technology,EDP Services,4/24/17
EXPE,"Expedia, Inc.",128.13,19194948754,NAN,Consumer Services,Transportation Services,4/24/17
ADSK,"Autodesk, Inc.",84.91,18752311346,NAN,Technology,Computer Software: Prepackaged Software,4/25/17
SYMC,Symantec Corporation,30.04,18589786968,1989,Technology,Computer Software: Prepackaged Software,4/23/17
VCSH,Vanguard Short-Term Corporate Bond ETF,79.95,18307296784,NAN,NAN,NAN,4/26/17
VIA,Viacom Inc.,45.75,18158000327,NAN,Consumer Services,Television Services,4/25/17
CHKP,Check Point Software Technologies Ltd.,103.53,18107554676,1996,Technology,Computer Software: Prepackaged Software,4/25/17
DLTR,"Dollar Tree, Inc.",76.46,18067340187,1995,Consumer Services,Department/Specialty Retail Stores,4/25/17
SWKS,"Skyworks Solutions, Inc.",97.47,17982395472,NAN,Technology,Semiconductors,4/23/17
FITB,Fifth Third Bancorp,23.93,17962371945,NAN,Finance,Major Banks,4/24/17
ULTA,"Ulta Beauty, Inc.",282.68,17563548670,2007,Consumer Services,Other Specialty Stores,4/26/17
INFO,IHS Markit Ltd.,42.21,17174188305,2014,Technology,"Computer Software: Programming, Data Processing",4/26/17
WLTW,Willis Towers Watson Public Limited Company,126.54,17149690469,NAN,Finance,Specialty Insurers,4/24/17
TROW,"T. Rowe Price Group, Inc.",70.26,16986912524,1986,Finance,Investment Bankers/Brokers/Service,4/23/17
LBRDK,Liberty Broadband Corporation,86.55,15734557959,NAN,Consumer Services,Television Services,4/24/17
MCHP,Microchip Technology Incorporated,72.24,15635059600,1993,Technology,Semiconductors,4/26/17
LBRDA,Liberty Broadband Corporation,85.54,15550942667,NAN,Consumer Services,Television Services,4/26/17
BMRN,BioMarin Pharmaceutical Inc.,89.91,15542426565,1999,Health Care,Major Pharmaceuticals,4/24/17
VIAB,Viacom Inc.,43.77,15208329102,NAN,Consumer Services,Television Services,4/25/17
SBAC,SBA Communications Corporation,123.8,15010047559,1999,Consumer Services,Real Estate Investment Trusts,4/26/17
KLAC,KLA-Tencor Corporation,95.33,14941006076,1980,Capital Goods,Electronic Components,4/24/17
STX,Seagate Technology PLC,48.17,14218670021,2002,Technology,Electronic Components,4/26/17
XRAY,DENTSPLY SIRONA Inc.,61.8,14194274552,1987,Health Care,Medical/Dental Instruments,4/26/17
SHPG,Shire plc,171.14,14068557710,NAN,Health Care,Major Pharmaceuticals,4/23/17
IBKR,"Interactive Brokers Group, Inc.",33.98,13912410230,NAN,Finance,Investment Bankers/Brokers/Service,4/23/17
XLNX,"Xilinx, Inc.",55.68,13860689775,1990,Technology,Semiconductors,4/23/17
HBAN,Huntington Bancshares Incorporated,12.59,13725359490,NAN,Finance,Major Banks,4/24/17
CPRT,"Copart, Inc.",29.65,13620922869,1994,Consumer Durables,Automotive Aftermarket,4/23/17
IDXX,"IDEXX Laboratories, Inc.",153.6,13504939162,1991,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,4/24/17
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,87.13,13410311435,NAN,NAN,NAN,4/25/17
HSIC,"Henry Schein, Inc.",167.85,13381655272,1995,Health Care,Medical Specialities,4/25/17
CA,CA Inc.,31.65,13228875961,NAN,Technology,Computer Software: Prepackaged Software,4/26/17
FAST,Fastenal Company,45.54,13172942479,1987,Consumer Services,RETAIL: Building Materials,4/23/17
VRSK,"Verisk Analytics, Inc.",79.11,13162002354,2009,Technology,EDP Services,4/25/17
LSXMK,Liberty Media Corporation,38.91,13051335428,NAN,Consumer Services,Broadcasting,4/26/17
CTXS,"Citrix Systems, Inc.",82.96,12970995934,1995,Technology,Computer Software: Prepackaged Software,4/23/17
CTAS,Cintas Corporation,121.68,12815648249,1983,Consumer Non-Durables,Apparel,4/24/17
MXIM,"Maxim Integrated Products, Inc.",43.77,12373402097,1988,Technology,Semiconductors,4/23/17
HAS,"Hasbro, Inc.",95.5,11938144243,NAN,Consumer Non-Durables,Recreational Products/Toys,4/25/17
HOLX,"Hologic, Inc.",42.42,11847746883,1990,Health Care,Medical Electronics,4/24/17
CINF,Cincinnati Financial Corporation,70.46,11612894846,NAN,Finance,Property-Casualty Insurers,4/24/17
WYNN,"Wynn Resorts, Limited",113.47,11600554048,2002,Consumer Services,Hotels/Resorts,4/24/17
AMD,"Advanced Micro Devices, Inc.",12.31,11588618403,NAN,Technology,Semiconductors,4/26/17
ACGL,Arch Capital Group Ltd.,93.07,11448210022,NAN,Finance,Property-Casualty Insurers,4/24/17
NDAQ,"Nasdaq, Inc.",68.11,11316043593,NAN,Finance,Investment Bankers/Brokers/Service,4/25/17
VOD,Vodafone Group Plc,25.8,11230539766,NAN,Public Utilities,Telecommunications Equipment,4/23/17
DISCA,"Discovery Communications, Inc.",28.29,11034282183,NAN,Consumer Services,Television Services,4/26/17
DISCB,"Discovery Communications, Inc.",28,10921170064,NAN,Consumer Services,Television Services,4/26/17
NCLH,Norwegian Cruise Line Holdings Ltd.,48.03,10918378300,2013,Consumer Services,Marine Transportation,4/25/17
WFM,"Whole Foods Market, Inc.",33.96,10818451609,NAN,Consumer Services,Food Chains,4/23/17
DISCK,"Discovery Communications, Inc.",27.73,10815858781,NAN,Consumer Services,Television Services,4/23/17
NTAP,"NetApp, Inc.",39.49,10699867943,1995,Technology,Electronic Components,4/24/17
SNPS,"Synopsys, Inc.",70.93,10656450142,1992,Technology,Computer Software: Prepackaged Software,4/25/17
CHRW,"C.H. Robinson Worldwide, Inc.",74.46,10557013632,1997,Transportation,Oil Refining/Marketing,4/25/17
AKAM,"Akamai Technologies, Inc.",58.8,10208224723,1999,Miscellaneous,Business Services,4/26/17
EXPD,"Expeditors International of Washington, Inc.",55.35,10001538378,NAN,Transportation,Oil Refining/Marketing,4/24/17
JBHT,"J.B. Hunt Transport Services, Inc.",89.14,9922249436,NAN,Transportation,Trucking Freight/Courier Services,4/26/17
QVCB,Liberty Interactive Corporation,21.43,9741423078,NAN,Consumer Services,Catalog/Specialty Distribution,4/26/17
SNI,"Scripps Networks Interactive, Inc",74.28,9634760899,NAN,Consumer Services,Television Services,4/26/17
QVCA,Liberty Interactive Corporation,21.02,9555049608,NAN,Consumer Services,Catalog/Specialty Distribution,4/24/17
MELI,"MercadoLibre, Inc.",215.46,9514145647,2007,Miscellaneous,Business Services,4/25/17
FANG,"Diamondback Energy, Inc.",105.04,9468718827,2012,Energy,Oil & Gas Production,4/24/17
SGEN,"Seattle Genetics, Inc.",66.01,9414812165,2001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/23/17
CDK,"CDK Global, Inc.",64.22,9312371889,NAN,Miscellaneous,Business Services,4/24/17
SIVB,SVB Financial Group,176.32,9232395549,NAN,Finance,Major Banks,4/23/17
GRMN,Garmin Ltd.,48.69,9175456092,2000,Capital Goods,Industrial Machinery/Components,4/23/17
CBOE,"CBOE Holdings, Inc.",81.29,9155171794,2010,Finance,Investment Bankers/Brokers/Service,4/25/17
JAZZ,Jazz Pharmaceuticals plc,153.11,9147133142,2007,Health Care,Major Pharmaceuticals,4/23/17
ALGN,"Align Technology, Inc.",113.73,9135186310,2001,Health Care,Industrial Specialties,4/25/17
ETFC,E*TRADE Financial Corporation,33.22,9125557420,NAN,Finance,Savings Institutions,4/24/17
CDW,CDW Corporation,56.78,9048863313,2013,Consumer Services,Catalog/Specialty Distribution,4/26/17
ANSS,"ANSYS, Inc.",105.37,9015704820,1996,Technology,Computer Software: Prepackaged Software,4/23/17
VRSN,"VeriSign, Inc.",87.68,8972167264,1998,Technology,EDP Services,4/24/17
DOX,Amdocs Limited,60.44,8866064480,NAN,Technology,EDP Services,4/24/17
AGNCB,AGNC Investment Corp.,25.5188,8840990378,NAN,Consumer Services,Real Estate Investment Trusts,4/24/17
RYAAY,Ryanair Holdings plc,86.02,8806570097,1997,Transportation,Air Freight/Delivery Services,4/24/17
OTEX,Open Text Corporation,33.31,8775213048,1996,Technology,EDP Services,4/24/17
ASML,ASML Holding N.V.,128.38,8739319194,1995,Technology,Industrial Machinery/Components,4/26/17
ALKS,Alkermes plc,57.16,8719612699,1991,Health Care,Major Pharmaceuticals,4/24/17
FFIV,"F5 Networks, Inc.",134.43,8709403386,1999,Technology,Computer Communications Equipment,4/26/17
CDNS,"Cadence Design Systems, Inc.",31.11,8693933091,NAN,Technology,Computer Software: Prepackaged Software,4/23/17
QRVO,"Qorvo, Inc.",68.48,8659472473,NAN,Technology,Semiconductors,4/23/17
LKQ,LKQ Corporation,27.94,8611521344,NAN,Consumer Services,Motor Vehicles,4/23/17
GT,The Goodyear Tire & Rubber Company,34.14,8600908499,NAN,Consumer Durables,Automotive Aftermarket,4/24/17
MAT,"Mattel, Inc.",25.01,8566270563,NAN,Consumer Non-Durables,Recreational Products/Toys,4/23/17
FLEX,Flex Ltd.,15.93,8526069925,1994,Technology,Electrical Products,4/26/17
IBB,iShares Nasdaq Biotechnology Index Fund,290.59,8281815000,NAN,NAN,NAN,4/24/17
TSCO,Tractor Supply Company,63.54,8254525052,1994,Consumer Services,RETAIL: Building Materials,4/26/17
SPLK,Splunk Inc.,59.49,8224284344,2012,Technology,Computer Software: Prepackaged Software,4/23/17
SEIC,SEI Investments Company,51.33,8168250642,1981,Finance,Investment Bankers/Brokers/Service,4/26/17
ZION,Zions Bancorporation,39.45,7985575673,NAN,Finance,Major Banks,4/23/17
HDS,"HD Supply Holdings, Inc.",39.55,7978373249,2013,Consumer Services,Office Equipment/Supplies/Services,4/23/17
STLD,"Steel Dynamics, Inc.",32.91,7976835456,1996,Basic Industries,Steel/Iron Ore,4/25/17
TSRO,"TESARO, Inc.",146.5,7881956668,2012,Health Care,Major Pharmaceuticals,4/25/17
COMM,"CommScope Holding Company, Inc.",39.98,7783626440,2013,Technology,Radio And Television Broadcasting And Communications Equipment,4/26/17
MIDD,The Middleby Corporation,134.18,7710174946,NAN,Technology,Industrial Machinery/Components,4/24/17
TRMB,Trimble Inc.,30.46,7698847242,1990,Capital Goods,Industrial Machinery/Components,4/24/17
IEP,Icahn Enterprises L.P.,48,7483788144,NAN,Capital Goods,Auto Parts:O.E.M.,4/26/17
SBNY,Signature Bank,136.52,7455380408,2004,Finance,Major Banks,4/25/17
ARCC,Ares Capital Corporation,17.465,7439053994,2004,NAN,NAN,4/23/17
WOOF,VCA Inc. ,91.43,7427408669,2001,Consumer Non-Durables,Farming/Seeds/Milling,4/24/17
NWS,News Corporation,12.7,7384936106,NAN,Consumer Services,Newspapers/Magazines,4/23/17
MRVL,Marvell Technology Group Ltd.,14.68,7375232000,2000,Technology,Semiconductors,4/24/17
VXUS,Vanguard Total International Stock ETF,49.27,7362211186,NAN,NAN,NAN,4/23/17
YNDX,Yandex N.V.,22.75,7356760548,2011,Technology,"Computer Software: Programming, Data Processing",4/26/17
SSNC,"SS&C Technologies Holdings, Inc.",35.64,7267470368,2010,Technology,Computer Software: Prepackaged Software,4/23/17
SCZ,iShares MSCI EAFE Small-Cap ETF,53.97,7242774000,NAN,NAN,NAN,4/24/17
JKHY,"Jack Henry & Associates, Inc.",93.03,7221889037,1985,Technology,EDP Services,4/23/17
NWSA,News Corporation,12.33,7169784425,NAN,Consumer Services,Newspapers/Magazines,4/23/17
PNRA,Panera Bread Company,315.44,7167903679,NAN,Consumer Services,Restaurants,4/24/17
EWBC,"East West Bancorp, Inc.",49.43,7126207236,NAN,Finance,Major Banks,4/26/17
GLPI,"Gaming and Leisure Properties, Inc.",34.15,7094904794,NAN,Consumer Services,Real Estate Investment Trusts,4/25/17
UHAL,Amerco,359.99,7058607602,NAN,Consumer Services,Rental/Leasing Companies,4/26/17
LAMR,Lamar Advertising Company,72.11,7025990474,1996,Consumer Services,Real Estate Investment Trusts,4/24/17
LULU,lululemon athletica inc.,51.22,7019891641,2007,Consumer Non-Durables,Apparel,4/23/17
SRCL,"Stericycle, Inc.",81.92,6983447020,1996,Basic Industries,Environmental Services,4/24/17
TEAM,Atlassian Corporation Plc,31.23,6947660650,2015,Technology,Computer Software: Prepackaged Software,4/26/17
CGNX,Cognex Corporation,79.83,6917217531,1989,Capital Goods,Industrial Machinery/Components,4/23/17
JBLU,JetBlue Airways Corporation,20.73,6914854068,2002,Transportation,Air Freight/Delivery Services,4/25/17
NDSN,Nordson Corporation,118.95,6845012364,NAN,Capital Goods,Industrial Machinery/Components,4/23/17
BNDX,Vanguard Total International Bond ETF,54.48,6796575420,NAN,NAN,NAN,4/25/17
AGNC,AGNC Investment Corp.,20.27,6710303981,2008,Consumer Services,Real Estate Investment Trusts,4/24/17
MKTX,"MarketAxess Holdings, Inc.",178.07,6693000454,2004,Finance,Investment Bankers/Brokers/Service,4/26/17
CSGP,"CoStar Group, Inc.",204.52,6667289826,1998,Miscellaneous,Business Services,4/25/17
ODFL,"Old Dominion Freight Line, Inc.",80.6,6646778622,1991,Transportation,Trucking Freight/Courier Services,4/23/17
FWONK,Liberty Media Corporation,32.87,6633894136,NAN,Consumer Services,Broadcasting,4/23/17
FTNT,"Fortinet, Inc.",37.32,6542943258,2009,Technology,Computer peripheral equipment,4/23/17
ACWI,iShares MSCI ACWI Index Fund,62.59,6459288000,NAN,NAN,NAN,4/25/17
DXCM,"DexCom, Inc.",76.06,6451031866,2005,Health Care,Medical/Dental Instruments,4/26/17
QGEN,Qiagen N.V.,28.09,6345030633,NAN,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/25/17
Z,"Zillow Group, Inc.",34.62,6326024561,NAN,Miscellaneous,Business Services,4/25/17
ZG,"Zillow Group, Inc.",34.41,6287651795,2011,Miscellaneous,Business Services,4/26/17
ERIE,Erie Indemnity Company,120.16,6283150539,NAN,Finance,Specialty Insurers,4/23/17
IPGP,IPG Photonics Corporation,117.17,6259509170,2006,Technology,Semiconductors,4/25/17
ULTI,"The Ultimate Software Group, Inc.",201.2,6220423743,1998,Technology,Computer Software: Prepackaged Software,4/24/17
SPLS,"Staples, Inc.",9.52,6212083896,1989,Consumer Services,Other Specialty Stores,4/26/17
EXEL,"Exelixis, Inc.",21.29,6192550191,2000,Health Care,Biotechnology: Commercial Physical & Biological Resarch,4/23/17
PACW,PacWest Bancorp,50.08,6158080740,NAN,Finance,Major Banks,4/26/17
BIVV,Bioverativ Inc.,56.83,6136274261,NAN,Health Care,Major Pharmaceuticals,4/23/17
TLT,iShares 20+ Year Treasury Bond ETF,123.47,6111765000,NAN,NAN,NAN,4/26/17
PTC,PTC Inc.,51.54,5964285492,NAN,Technology,Computer Software: Prepackaged Software,4/23/17
TRIP,"TripAdvisor, Inc.",41.36,5962452554,NAN,Technology,"Computer Software: Programming, Data Processing",4/24/17
ON,ON Semiconductor Corporation,14.11,5920709206,NAN,Technology,Semiconductors,4/26/17
SABR,Sabre Corporation,21.08,5867295434,2014,Technology,"Computer Software: Programming, Data Processing",4/24/17
TTWO,"Take-Two Interactive Software, Inc.",57.53,5834128691,1997,Technology,Computer Software: Prepackaged Software,4/24/17
IAC,IAC/InterActiveCorp,74.76,5811590160,NAN,Consumer Services,Other Specialty Stores,4/23/17
GNTX,Gentex Corporation,19.95,5732926443,NAN,Capital Goods,Auto Parts:O.E.M.,4/25/17
OZRK,Bank of the Ozarks,46.81,5690738744,1997,Finance,Major Banks,4/24/17
PPC,Pilgrim&#39;s Pride Corporation,22.82,5676532233,NAN,Consumer Non-Durables,Meat/Poultry/Fish,4/26/17
BBBY,Bed Bath & Beyond Inc.,38.39,5615458860,1992,Consumer Services,Home Furnishings,4/25/17
PBCT,"People&#39;s United Financial, Inc.",17.29,5479778521,NAN,Finance,Savings Institutions,4/23/17
UTHR,United Therapeutics Corporation,121.53,5464185192,1999,Health Care,Major Pharmaceuticals,4/25/17
ABMD,"ABIOMED, Inc.",124.61,5425437157,NAN,Health Care,Medical/Dental Instruments,4/25/17
MSCC,Microsemi Corporation,46.81,5397479945,NAN,Technology,Semiconductors,4/26/17
LECO,"Lincoln Electric Holdings, Inc.",81.9,5385924671,NAN,Technology,Industrial Machinery/Components,4/25/17
CBSH,"Commerce Bancshares, Inc.",52.91,5385169535,NAN,Finance,Major Banks,4/24/17
LOGM,"LogMein, Inc.",102.15,5370231537,2009,NAN,NAN,4/25/17
CG,The Carlyle Group L.P.,16.15,5289123595,2012,Finance,Investment Managers,4/23/17
HPT,Hospitality Properties Trust,32.12,5276294552,NAN,Consumer Services,Real Estate Investment Trusts,4/26/17
SATS,EchoStar Corporation,55.41,5256054352,NAN,Technology,Radio And Television Broadcasting And Communications Equipment,4/26/17
IONS,"Ionis Pharmaceuticals, Inc.",42.27,5236431229,NAN,Health Care,Major Pharmaceuticals,4/25/17
VEON,VEON Ltd.,3.89,5212706178,NAN,Public Utilities,Telecommunications Equipment,4/24/17
SNH,Senior Housing Properties Trust,21.74,5164216973,NAN,Consumer Services,Real Estate Investment Trusts,4/23/17
BRCD,"Brocade Communications Systems, Inc.",12.41,5059579611,1999,Technology,Computer Communications Equipment,4/25/17
LOGI,Logitech International S.A.,31.01,5014996863,1997,Technology,Computer peripheral equipment,4/25/17
ARRS,ARRIS International plc,25.97,4961524247,NAN,Technology,Radio And Television Broadcasting And Communications Equipment,4/23/17
SLM,SLM Corporation,11.555,4958263303,NAN,Finance,Finance: Consumer Services,4/24/17
DNKN,"Dunkin&#39; Brands Group, Inc.",53.5,4925547906,2011,Consumer Services,Restaurants,4/25/17
IXUS,iShares Core MSCI Total International Stock ETF,54.48,4908648000,NAN,NAN,NAN,4/26/17
SINA,Sina Corporation,69.05,4894344650,NAN,Technology,Computer Software: Prepackaged Software,4/23/17
BOKF,BOK Financial Corporation,74.75,4888965071,NAN,Finance,Major Banks,4/26/17
ESLT,Elbit Systems Ltd.,114.18,4880953395,NAN,Capital Goods,Military/Government/Technical,4/25/17
RGLD,"Royal Gold, Inc.",74.53,4869271471,NAN,Basic Industries,Precious Metals,4/24/17
POOL,Pool Corporation,116.43,4807108864,1995,Consumer Durables,Industrial Specialties,4/25/17
NUAN,"Nuance Communications, Inc.",16.38,4775805085,NAN,Technology,Computer Software: Prepackaged Software,4/23/17
FLIR,"FLIR Systems, Inc.",34.97,4768869146,1993,Capital Goods,Industrial Machinery/Components,4/23/17
COHR,"Coherent, Inc.",192.79,4733732500,NAN,Capital Goods,Biotechnology: Laboratory Analytical Instruments,4/26/17
MSG,MSG Networks Inc.,197.08,4722561033,2015,Consumer Services,Services-Misc. Amusement & Recreation,4/26/17
PVTB,"PrivateBancorp, Inc.",58.65,4693563668,1999,Finance,Major Banks,4/24/17
MASI,Masimo Corporation,92.56,4666788194,2007,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,4/25/17
NBIX,"Neurocrine Biosciences, Inc.",53.39,4651034613,1996,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/24/17
ZBRA,Zebra Technologies Corporation,87.33,4617769981,1991,Technology,Industrial Machinery/Components,4/24/17
CONE,CyrusOne Inc,52.42,4604945454,2013,Consumer Services,Real Estate Investment Trusts,4/25/17
BBRY,BlackBerry Limited,8.64,4583602253,NAN,Public Utilities,Telecommunications Equipment,4/25/17
KITE,"Kite Pharma, Inc.",82.25,4577429147,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),4/23/17
CAVM,"Cavium, Inc.",67.26,4562314472,2007,Technology,Semiconductors,4/23/17
TFSL,TFS Financial Corporation,15.96,4524154068,NAN,Finance,Savings Institutions,4/23/17
CDEV,"Centennial Resource Development, Inc.",19.79,4520552440,2016,Energy,Oil & Gas Production,4/25/17
BUFF,"Blue Buffalo Pet Products, Inc.",22.85,4491159297,2015,Consumer Non-Durables,Packaged Foods,4/24/17
